#{"t_start": 1703579735.6008756, "env_id": "None"}
r,l,t
1.429385,369,4.015288
0.0,57,4.977741
0.0,47,5.912405
0.002371,53,6.905932
0.004028,58,7.880434
0.010225,214,10.14173
0.004629,139,11.767069
0.731384,358,15.352893
0.009376,199,17.477927
0.002542,541,22.417542
0.937769,383,26.090274
0.011085,119,27.559134
0.0,75,28.653018
0.0,50,29.559472
0.007175,58,30.51253
0.0,62,31.497216
0.004554,59,32.466039
0.043526,164,34.294432
0.615595,286,37.138976
0.003193,56,38.091834
0.008044,299,41.046357
0.296754,232,43.42169
0.0,117,44.859503
0.0,179,50.263657
1.61634,397,54.332475
0.00062,62,55.351166
0.0,48,56.22619
0.0,65,57.2467
0.00467,69,58.324902
0.0,149,60.059653
0.009449,60,61.028478
0.0,128,62.575547
0.001369,416,66.497984
0.007246,63,67.513871
0.000291,68,68.560824
0.00627,58,69.514179
0.008986,65,70.545507
0.693316,443,74.671314
0.449078,357,78.093627
0.001796,48,78.984315
0.0,144,80.656508
0.0,65,81.672204
0.0,63,82.688064
0.04942,178,84.641332
0.0,64,85.657201
0.076798,116,87.094806
0.0,73,88.173288
0.003504,52,89.079606
0.592456,267,91.767458
0.00688,58,92.720809
0.0,90,93.955628
0.0,95,95.220997
0.0,64,96.221274
0.012238,86,97.424483
0.011463,43,98.252846
0.0,110,102.739136
0.012886,51,103.645469
0.458901,559,108.755558
0.0,56,109.708945
0.715297,281,112.506024
0.002168,44,113.349983
0.0,55,114.287553
0.009188,66,115.303392
0.057986,412,119.194598
0.0,138,120.819928
0.004924,150,122.538997
0.007115,47,123.414058
0.036515,231,125.789467
0.000189,54,126.711591
0.719172,249,129.258658
0.001036,52,130.180787
0.0,295,133.087406
0.004927,46,133.962767
0.005487,67,135.00973
0.003512,92,136.244047
1.069661,212,138.478759
0.198966,183,140.463525
0.0,67,141.494852
0.164684,198,143.604748
0.386406,412,147.49585
0.010559,422,154.543982
0.0,199,156.685041
1.3e-05,300,159.638697
0.004542,300,162.592331
0.00489,52,163.498783
0.007122,174,165.421054
0.004743,92,166.671231
0.0,68,167.70256
0.003431,332,170.93717
0.001357,244,173.421835
0.011732,51,174.312524
0.0,254,176.875383
0.0,150,178.594401
0.0,51,179.485093
0.000563,463,183.767262
0.0,214,186.017428
0.0065,55,186.955343
0.003149,113,188.361543
0.002604,131,189.908716
0.0,65,190.924734
0.0,207,193.112453
0.0,156,194.893998
0.005171,61,198.895102
0.0,187,200.927706
0.37444,280,203.740603
0.00608,135,205.366006
0.000631,72,206.428453
0.006034,114,207.835025
0.0,52,208.741495
0.002081,95,210.007218
0.0,68,211.038737
0.0,62,212.0234
0.005177,180,214.007866
0.0,65,215.007998
0.0,129,216.539446
0.015792,146,218.227318
0.089305,160,220.024562
0.678638,148,221.743441
0.004324,342,225.087595
0.0,51,225.994202
0.009146,90,227.212915
0.106504,232,229.666552
0.003541,76,230.822905
0.0,125,232.338639
0.0,238,234.792316
0.007498,59,235.761269
0.165947,408,239.605524
0.008063,77,240.762003
0.004098,57,241.715217
0.000949,81,242.887373
0.00276,148,244.606248
0.558483,293,250.577106
0.006954,70,251.655468
0.003367,126,253.171207
0.008212,63,254.218552
0.00721,176,256.156335
0.000285,66,257.187533
0.001082,47,258.046976
0.021127,185,260.047126
0.004453,91,261.266211
0.0,177,263.235111
0.318317,223,265.563569
0.000232,65,266.610703
0.002772,53,267.51705
0.007856,74,268.595256
0.0,57,269.533073
0.002124,185,271.611354
0.001929,257,274.236732
0.0,50,275.143046
0.0,194,277.237148
0.015387,197,279.346681
0.008091,143,281.503522
0.004084,57,282.472363
0.010418,62,283.694145
0.0,58,284.678607
0.034702,233,287.069627
0.002444,231,289.460637
0.016715,149,291.17973
0.021338,456,295.445806
9.1e-05,102,296.758273
0.001875,149,298.477154
0.005519,78,302.870021
0.003858,229,306.448431
0.0,201,309.71435
0.000169,58,311.136332
0.0,191,314.183827
0.001216,142,316.730969
0.000425,157,319.434297
0.0,47,320.762507
0.064586,232,324.52908
0.140234,254,328.388826
0.00511,59,329.857691
0.776817,314,334.436154
0.0,54,335.812421
0.002637,110,337.875514
0.018079,280,342.1106
0.000339,141,344.59516
0.001236,54,345.985941
0.0,72,347.532951
0.12348,184,350.595718
0.181181,415,354.662248
0.010805,53,355.599692
0.0,53,356.537393
0.008685,174,358.522181
0.0,68,359.616013
0.0,113,361.08496
0.004344,48,362.085143
0.010027,49,363.116466
0.001801,45,364.210299
0.000225,392,371.696168
0.0,84,373.167269
0.01341,256,376.311229
0.009689,121,377.796737
0.000331,68,378.81364
0.002427,56,379.736686
0.003252,117,381.190905
0.003617,148,382.909953
0.157939,206,385.097618
0.006995,153,386.863552
0.158261,247,389.37962
0.0,77,390.473456
0.0,41,391.270537
0.0,57,392.208111
0.000533,178,394.177199
0.0,55,395.09939
0.0,72,396.193222
0.001515,200,398.349774
0.000289,171,400.287579
0.0,39,401.100453
0.008294,167,402.991372
0.0,289,405.882356
0.0,641,411.664888
0.000367,280,414.493332
0.678133,286,420.400641
0.000469,58,421.369464
0.006807,140,423.010394
0.002871,477,427.433083
0.0,82,428.58943
0.001344,220,430.917947
0.007144,151,432.652639
0.001058,218,434.934216
0.001453,280,437.701044
0.00681,192,439.748269
0.005684,235,442.186094
0.006393,197,444.279999
0.001427,112,445.686555
0.0,54,446.608503
0.091033,285,449.437122
0.0,833,456.81338
0.009546,69,457.844708
0.0,186,459.860635
0.006023,405,466.503952
0.0,225,468.84236
0.006662,64,469.893893
0.0,130,471.484793
0.004801,127,472.996679
0.007201,68,474.047722
0.008341,67,475.092678
0.0,131,476.652184
0.008358,70,477.701934
0.007971,294,480.592963
0.0,192,482.671536
0.005306,71,483.718595
0.003803,187,485.718863
0.664948,314,488.797512
0.002867,88,489.985102
0.0,207,492.172955
0.01202,168,494.048673
0.009479,101,495.345648
0.0,210,497.549196
0.0,102,498.862126
0.776912,239,501.315432
1.031362,342,504.597251
0.001383,328,507.800758
0.00679,159,509.597924
1.615541,361,516.037107
0.174599,264,518.693818
0.687171,344,521.991505
0.008746,198,524.523072
0.001443,60,525.491894
0.0,129,527.023809
0.158958,218,529.289891
0.59522,224,531.79007
0.004841,51,532.821398
0.005486,57,534.008987
0.0,310,537.352988
0.254423,472,541.963258
0.0,70,543.135221
0.742781,162,545.245145
0.010145,249,548.011188
0.007555,59,548.995637
0.0,252,552.444403
0.002024,249,555.481519
0.0,289,558.668125
0.0,63,559.825702
0.0,261,565.672071
0.0,188,567.927173
0.01172,270,570.756605
0.0,210,573.270264
0.134652,174,575.331222
0.0,180,577.594846
0.011809,199,579.931937
0.003129,70,581.16412
0.005927,102,582.672522
0.941122,200,585.317278
0.0,291,588.517466
0.012331,118,590.079428
0.745838,361,594.332937
0.004148,50,595.419096
0.0,293,598.955882
0.0,49,599.956348
0.005554,270,602.83649
0.002432,156,604.787077
0.185843,228,607.389587
0.003889,154,609.291478
0.0,51,610.249319
0.002917,52,611.280528
0.0,48,612.228921
0.006441,57,613.232539
0.006207,49,614.187592
0.000257,54,615.223982
0.028129,324,622.055104
0.008761,164,624.132057
0.005731,265,627.009332
0.006287,62,628.062132
0.002702,116,629.621874
0.0,342,633.111785
0.002703,51,634.014472
0.006832,68,635.061596
0.542042,276,637.843218
0.010372,190,639.917724
0.038601,339,643.349326
0.009437,61,644.335817
0.006648,51,645.226661
0.0,88,646.48624
0.007934,205,648.797714
0.0,177,650.735356
0.005586,185,652.751294
0.017944,226,655.235996
0.207915,266,657.955164
0.0,57,658.939759
0.000713,143,660.690161
0.00704,77,661.955735
0.000997,61,663.033941
0.012669,73,664.205962
0.0,75,665.409177
0.089086,354,672.694843
0.00083,110,674.997
0.0,71,676.373041
8.9e-05,69,677.67037
0.011006,142,679.619395
0.503798,400,683.770137
0.008897,50,684.741033
0.0,72,685.946616
0.006123,55,686.980766
0.00513,52,687.959985
1.000626,219,690.397847
0.001134,84,691.687479
0.0,63,692.752114
0.988404,181,694.871967
0.082947,204,697.338577
0.004272,90,698.661681
0.0,90,699.972444
0.0,66,701.053533
0.006419,135,702.710809
0.005108,369,706.523359
0.005535,66,707.573455
0.010161,216,709.876536
0.0,59,710.837104
0.006855,206,713.091309
0.002761,257,715.804246
0.063796,180,717.770746
0.0,59,718.760062
0.0,68,719.79181
0.029973,433,726.360094
0.001102,60,727.372143
0.003269,50,728.318105
0.259865,299,731.407833
0.009321,315,734.51862
0.003595,258,737.338738
0.0,103,738.700632
0.002901,251,741.248065
0.176535,177,743.185717
0.657997,367,746.70167
0.00184,60,747.65487
0.006735,282,750.492984
0.0,75,751.597852
0.009503,93,752.886811
0.0,306,756.435513
0.0,52,757.623159
0.0,60,758.748244
0.007764,62,760.013963
0.003948,139,762.085575
0.005796,58,763.257539
0.004127,142,765.632734
0.18786,162,768.179847
0.065273,148,770.211248
0.0,194,772.742748
0.293736,201,775.430412
0.000471,58,785.213197
0.006302,79,786.829443
0.0,435,792.681788
0.65493,252,796.145834
0.002564,52,797.083419
0.13088,237,799.793733
0.0,51,800.783173
0.0,54,801.829071
0.0,205,804.177726
0.007356,61,805.268208
0.946489,353,808.833486
0.001837,76,809.996783
0.0,56,810.992489
0.188364,232,813.526761
0.731685,272,816.355239
0.0,66,817.418058
0.010152,313,820.574785
0.0,162,822.450066
0.0,185,824.528565
0.0,54,825.481761
0.0,179,827.524213
0.0,180,829.638807
0.140533,430,833.982182
0.005199,60,835.052442
1.269345,438,842.513609
0.002695,58,843.532263
0.000781,56,844.495688
0.0,93,845.76496
0.0,66,846.845005
0.026852,168,848.826689
0.00249,143,850.605472
0.006142,357,854.117704
1.345692,300,857.115004
0.0,288,860.060489
0.0,164,861.890855
0.0,63,862.889859
0.000825,74,863.996665
0.116453,134,865.589887
0.004676,599,871.124245
0.006614,177,873.071716
1.775626,243,875.552713
0.0,77,876.691844
0.009352,268,879.453745
0.00529,72,880.594112
0.0,67,881.653904
0.048748,334,888.03987
0.003412,218,890.317342
0.008664,73,891.395728
0.187029,145,893.072434
0.0,311,896.187751
0.006338,47,897.053388
0.006224,55,898.005512
0.006417,59,899.120893
0.00926,185,901.327812
0.0,47,902.242733
0.0,58,903.364036
0.000942,174,905.710599
0.0056,145,907.52333
0.003031,65,908.573588
0.002975,205,911.027679
0.004285,209,913.715405
0.131759,113,915.266427
0.024531,220,917.946878
0.000857,75,919.138319
0.003729,57,920.154019
0.0,51,921.201363
0.0,60,922.267808
0.0,584,928.376158
0.467274,160,930.326599
0.007634,158,932.165658
0.00432,183,934.197234
0.008379,327,940.684111
0.018898,181,942.765045
0.007821,59,943.765106
0.008204,133,945.386068
0.005685,101,946.854929
0.024783,368,950.9025
0.002664,59,951.943286
0.0,85,953.203452
0.004773,208,955.465753
0.000231,111,956.936664
0.012216,281,959.957805
0.0,367,963.717677
0.00643,141,965.374237
0.65152,315,968.600448
0.003598,55,969.567515
0.547732,399,973.847826
0.040051,234,976.674961
0.0,48,977.634088
0.002001,58,978.7143
0.0,58,979.759155
0.000342,289,982.877675
0.304926,201,985.098454
0.0,151,986.948365
0.014304,293,993.093435
0.071308,282,996.168782
0.969489,438,1000.643304
0.632877,383,1004.488493
0.001657,49,1005.382377
0.0,51,1006.304331
0.009571,183,1008.352282
0.003183,155,1010.265031
0.000475,339,1014.758851
0.002336,65,1015.85307
0.004918,317,1019.134577
0.009715,159,1020.962994
0.002939,250,1023.604038
0.0,264,1026.402284
0.0,264,1029.308309
0.009666,60,1030.352659
0.237911,229,1032.94297
0.202646,151,1034.76263
0.200589,170,1036.865631
0.0,53,1037.886496
0.005903,65,1038.997088
0.01324,304,1045.325994
0.005325,275,1048.507399
0.000977,215,1050.975443
0.553727,228,1053.611462
0.007836,44,1054.516787
0.003829,70,1055.629436
0.0,65,1056.730539
0.009204,196,1059.131882
0.000239,216,1061.637417
0.001394,141,1063.448597
0.564178,368,1067.182496
0.322132,586,1072.769506
0.007064,68,1073.822076
0.003393,179,1075.910806
0.0,67,1076.963829
0.924477,371,1080.789562
0.004911,228,1083.442819
0.579213,391,1087.493988
0.0,55,1088.472619
0.005794,55,1089.419573
0.0,57,1093.565035
0.009808,263,1096.776774
0.149919,175,1098.818415
0.007726,165,1100.882591
0.005888,138,1102.608269
0.006535,52,1103.514588
0.007786,66,1104.560467
0.008763,180,1106.564869
0.000475,298,1109.606347
0.0,156,1111.418807
5e-05,86,1112.718657
0.00063,335,1116.304275
0.090019,166,1118.339188
0.248715,471,1123.044617
0.009221,230,1125.670394
0.007195,190,1127.951238
0.272545,171,1130.229668
0.554427,707,1137.578454
0.006957,113,1139.146085
0.834033,361,1145.657122
0.005717,155,1147.491437
0.070375,245,1150.073243
0.123073,197,1152.624982
0.00593,209,1155.514296
0.012692,270,1158.508685
0.010472,278,1161.946886
0.061049,143,1163.853666
0.004018,56,1164.88538
0.778321,283,1167.754869
0.0,72,1168.891618
0.0,189,1171.097818
1.7e-05,220,1173.492483
0.081729,121,1175.196099
0.008495,183,1177.44666
0.005913,55,1178.462359
0.531223,404,1182.825679
0.000561,59,1183.982016
0.003917,64,1185.07345
0.170046,250,1188.370627
0.439248,234,1191.440234
0.010355,186,1198.360943
0.138301,512,1204.779079
0.465155,215,1207.123267
0.007677,399,1211.518164
0.00082,423,1215.832237
0.004623,116,1217.396064
0.180475,425,1221.818154
0.0,123,1223.411939
0.0,49,1224.347632
0.986741,725,1231.475772
0.13253,233,1234.038633
0.004032,148,1235.804391
0.028036,513,1240.664482
0.003464,124,1242.242724
0.0,238,1248.056442
0.003076,125,1249.728444
0.032893,400,1253.947591
0.489647,227,1256.52591
0.159204,210,1258.948317
0.003994,177,1261.18296
0.067729,162,1263.245615
0.005761,59,1264.309204
1.750397,400,1268.450138
0.766991,340,1272.028887
0.027397,430,1276.743261
0.361915,128,1278.509093
0.007131,60,1279.681059
0.006072,317,1283.103266
0.006139,59,1284.150217
0.792465,219,1286.697336
0.03237,282,1289.807314
0.013686,146,1291.729392
0.57027,186,1297.02547
0.258003,179,1299.232019
0.304894,481,1304.173017
0.0,58,1305.233037
0.0,65,1306.358121
0.644432,326,1310.167497
0.0,298,1313.567632
0.00376,131,1315.272136
0.00884,249,1318.038368
0.003749,186,1320.179153
0.001208,118,1321.757772
0.0,177,1323.836448
0.122776,338,1327.446421
0.010271,195,1329.767443
0.70926,320,1333.201108
0.002139,211,1335.603837
0.24714,219,1338.095449
0.247335,301,1341.299753
0.537955,315,1347.467669
0.004656,174,1349.560395
0.006982,137,1351.349743
0.0,84,1352.605606
0.0019,177,1354.708978
0.051983,155,1356.55366
0.004515,111,1357.983665
0.005208,270,1361.049299
0.263389,182,1363.096339
1.023851,383,1366.80833
0.0154,231,1369.230385
0.586782,250,1371.920508
1.324584,635,1377.980345
0.0,52,1378.980597
0.55484,972,1388.044203
0.184612,107,1389.450544
0.006406,184,1394.407873
0.011272,66,1395.528327
0.005682,58,1396.512782
0.009401,51,1397.434726
0.929856,222,1399.833319
0.652971,307,1402.970137
1.288621,257,1405.673697
0.006907,124,1407.189857
0.003077,150,1408.971247
0.071419,237,1411.635045
0.016115,295,1414.777388
1.588104,272,1417.708787
0.0,128,1419.357383
0.022205,179,1421.437459
0.857716,289,1424.423928
0.009453,79,1425.62554
0.352995,181,1427.687592
0.006877,309,1430.7975
6.3e-05,86,1431.985085
0.008969,214,1434.32921
0.010826,57,1435.329675
0.000743,227,1437.67347
0.0,65,1438.689154
0.003702,74,1439.854323
0.00756,219,1444.902048
0.038534,132,1446.664492
0.078174,204,1448.91437
0.383789,166,1450.909081
0.028534,200,1453.159247
0.042318,203,1455.362538
0.057546,240,1457.878548
0.009682,455,1462.335396
0.001863,182,1464.446603
0.140465,583,1470.170485
0.010741,149,1471.990343
0.904404,164,1473.893667
0.340386,153,1475.628562
0.145255,233,1478.16141
1.118296,248,1480.89552
0.002628,244,1483.523065
1.1193,503,1491.393182
0.168062,304,1494.399124
0.172308,334,1497.724776
0.006891,251,1500.470558
0.009232,156,1502.447769
0.892676,284,1505.546859
0.009326,157,1507.47506
0.011711,383,1511.459851
0.095812,228,1513.971011
0.006875,344,1517.490951
0.28681,227,1519.961518
0.168402,148,1521.85502
0.173705,159,1523.881721
0.21208,211,1526.311469
0.010514,118,1527.923605
0.240975,186,1530.281473
0.00219,629,1539.697842
0.004532,64,1540.831893
0.0,127,1542.517626
0.004817,95,1543.969368
0.0,486,1549.014096
1.468328,230,1551.452211
0.464447,451,1555.843602
0.003987,187,1558.485793
0.007126,120,1562.623659
0.002253,56,1564.389416
0.007753,170,1566.511383
0.309867,189,1568.868303
0.127428,285,1571.891183
0.755626,230,1574.50727
0.019377,169,1576.511886
0.005057,52,1577.512336
0.000726,146,1579.418728
0.0,66,1580.590693
0.0,97,1582.009592
0.024822,259,1584.98205
0.043897,127,1586.638425
0.055097,295,1589.888762
0.265808,249,1596.084382
0.425805,317,1599.519824
0.324241,377,1603.612537
0.0,223,1606.200392
0.167451,218,1609.096993
0.006733,60,1610.213609
0.220424,382,1614.388264
0.262068,493,1619.668175
0.146428,716,1627.1579
0.609267,357,1631.002387
0.992189,172,1632.97167
0.005375,110,1634.473647
0.001037,247,1637.221438
0.12132,476,1644.555276
0.133359,400,1648.386154
0.002352,129,1649.917537
0.000256,217,1652.183548
0.05853,149,1653.933869
0.005581,80,1655.059145
0.007479,107,1656.418618
0.014844,451,1660.669429
0.0,60,1661.732164
0.915231,223,1664.091923
0.004901,144,1665.782895
1.34869,331,1669.095866
0.452992,230,1671.642978
0.004187,103,1673.018097
0.212444,104,1674.502568
1.197908,539,1679.659528
0.010609,111,1681.112534
0.778806,603,1689.796071
0.012164,492,1694.718562
0.003863,59,1695.702822
0.003947,154,1697.562506
0.072612,146,1699.390767
0.050974,158,1701.237823
0.00386,312,1704.581973
0.071789,495,1709.488742
0.125757,144,1711.176378
0.005454,198,1713.473599
0.008435,62,1714.583129
1.081599,272,1717.411476
0.506804,239,1719.943203
0.017336,132,1721.521317
0.002781,91,1722.755786
0.76776,325,1726.006543
0.472782,223,1728.413197
0.34986,673,1737.649717
0.02164,443,1742.072345
0.053254,143,1743.869421
0.041661,195,1746.097184
0.172613,253,1748.816228
0.478483,215,1751.26115
1.336847,210,1753.636344
0.215518,138,1755.355237
0.491009,593,1761.152854
0.123461,216,1763.528046
0.010784,110,1764.981166
0.650901,182,1767.109979
0.005972,192,1769.344536
0.219651,224,1771.810136
0.893829,455,1776.388641
3.043383,347,1782.702069
0.067899,204,1785.061639
0.068486,156,1786.93685
0.333008,228,1789.452856
0.001856,129,1791.124844
0.965259,204,1793.437582
0.760604,282,1796.297384
0.0,81,1797.48835
0.092275,225,1799.894781
0.032817,201,1802.176498
0.00531,69,1803.223545
1.225867,389,1807.145907
0.365533,205,1809.33357
0.362839,325,1815.023385
0.307863,311,1819.336336
0.2537,155,1821.383503
0.032304,163,1823.477411
1.019912,361,1827.3527
0.114758,231,1830.012873
0.610858,288,1836.147593
0.312864,277,1839.243296
0.971058,333,1842.766037
0.80141,290,1846.0784
2.559165,418,1850.359684
1.109646,187,1852.601219
0.362906,495,1857.639142
0.004244,186,1859.799517
0.006895,380,1863.750622
0.074299,513,1868.976932
0.003671,99,1870.42831
0.07334,113,1872.03131
0.530427,285,1875.133622
0.010463,321,1878.477995
0.785902,361,1884.963686
0.775541,324,1888.229822
0.377391,192,1890.325066
0.001881,747,1897.09168
0.078491,210,1899.357475
0.680122,355,1902.826658
0.047787,381,1906.743637
0.259636,130,1908.308622
0.007474,310,1911.394629
0.038094,252,1913.98624
3.129352,411,1917.872468
0.013774,465,1922.271024
0.169427,313,1927.91567
0.418463,232,1930.340201
0.016655,167,1932.215392
0.029473,619,1937.846432
0.003288,316,1940.950339
0.688907,201,1943.100351
0.011262,289,1945.988623
0.326681,121,1947.47877
0.001808,57,1948.43059
0.565858,381,1952.087004
0.061786,191,1954.151954
0.016853,321,1957.296685
0.571225,785,1964.50688
0.106456,309,1970.288964
0.001546,75,1971.383036
0.119411,258,1973.980434
0.009856,433,1978.090775
0.25847,229,1980.465901
0.008472,206,1982.653812
0.867823,230,1985.028987
1.027746,579,1990.295434
0.109353,723,1997.337003
0.458283,229,1999.757675
0.415442,616,2005.573956
0.148806,455,2012.447453
0.711273,521,2017.32334
1.306329,355,2020.763902
0.006995,94,2022.041162
0.0,287,2024.950575
2.077296,599,2030.904389
0.037216,149,2032.772586
0.165764,218,2035.395168
0.480713,713,2043.443552
0.010717,241,2046.038096
0.432611,229,2048.667962
0.0,65,2049.699157
1.31127,275,2052.559054
1.136174,236,2057.731978
1.799331,261,2060.420071
0.438994,243,2062.967276
0.613054,194,2065.170836
0.187512,197,2067.485265
0.008214,203,2069.71357
0.015333,62,2070.802414
0.654973,191,2073.005927
0.724172,290,2076.131136
0.3702,436,2080.512898
0.449403,109,2081.950188
0.007914,477,2086.523903
0.050785,144,2088.296232
0.27352,294,2091.22719
1.583702,410,2095.144322
1.164464,246,2097.683919
0.571284,208,2099.900219
0.414235,658,2108.525389
0.126788,276,2111.333564
0.007715,460,2115.698573
0.053383,165,2117.56187
0.053896,236,2119.997679
0.0,66,2121.023528
2.273493,302,2124.043125
0.761366,169,2125.944738
0.006806,352,2129.391875
1.545768,299,2132.362629
1.253052,584,2137.722829
0.285534,258,2140.374682
0.409133,134,2141.991195
0.121746,201,2144.155262
0.745811,375,2150.395833
0.0,63,2151.401304
2.937716,341,2154.725605
1.212451,677,2160.887927
1.216584,415,2164.838283
0.071327,201,2167.027085
0.761865,153,2168.778353
0.645684,267,2171.486029
0.587045,501,2176.250099
0.014993,270,2179.049286
0.205239,1001,2190.737737
0.927223,432,2194.955384
0.299196,173,2196.901669
0.058993,134,2198.531606
0.443599,442,2202.846242
2.099415,300,2205.819832
0.010038,618,2211.449808
0.34519,251,2213.997269
0.563896,228,2216.403894
0.572907,539,2221.482853
0.261021,195,2223.679111
0.123996,191,2225.75357
0.063568,194,2228.050635
1.102735,195,2230.20999
0.560767,182,2235.078427
0.222421,270,2237.811291
0.037143,407,2241.730636
0.804263,223,2244.237016
1.404474,339,2247.550345
0.932915,414,2251.595939
0.027175,254,2254.217241
0.003422,159,2256.111672
1.0848,369,2259.899721
0.029918,341,2263.4389
0.811887,128,2265.038638
0.003399,134,2266.731431
0.005862,342,2270.157523
1.293213,126,2271.684025
0.214543,531,2279.271771
0.574773,203,2281.458029
0.533598,685,2287.658673
0.26326,224,2289.990251
1.117213,397,2293.766656
1.321511,622,2299.444719
1.060752,521,2304.269356
0.753301,218,2306.585658
0.015667,326,2309.751201
0.109155,249,2312.29302
0.619627,381,2316.001137
0.434831,239,2318.456012
0.059694,261,2323.737139
0.002571,101,2325.071604
0.950386,636,2330.85906
1.282191,327,2334.088095
0.224142,255,2336.71071
0.500245,282,2339.70883
0.651262,381,2343.412803
1.30217,548,2348.496283
1.932937,479,2353.096812
0.011744,813,2360.835511
3.342343,522,2368.629445
1.749799,548,2373.805163
0.016292,242,2376.485243
0.377822,292,2379.597871
1.296358,298,2382.75232
0.002689,277,2385.620712
4.789147,678,2392.070961
0.003638,415,2396.083328
0.00491,168,2397.957412
3.481827,427,2402.078367
0.405,123,2403.580197
2.125619,333,2409.542329
0.980605,970,2418.396858
4.89934,838,2425.949991
0.257877,143,2427.642562
2.159452,314,2430.901227
0.008744,498,2435.596675
1.30286,319,2438.739411
0.322209,210,2441.073817
0.268204,199,2443.277383
0.052577,116,2444.711114
0.018373,255,2447.378768
0.101804,220,2452.473446
1.103181,413,2456.685438
0.012443,383,2460.506057
0.786174,201,2462.728302
0.122087,495,2467.62835
0.013941,408,2471.665803
1.282455,386,2475.633294
2.592505,631,2481.550195
0.514527,325,2484.805416
3.767936,452,2489.35291
0.00492,63,2490.436869
0.11713,766,2500.285344
1.072071,446,2504.746121
0.181036,161,2506.678719
0.943065,435,2510.916798
0.924843,121,2512.416922
